stim_left;stim_right;audio;stim_lev;vol;left;right;stim;Hz;categorie;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;both_txt_loop.thisRepN;both_txt_loop.thisTrialN;both_txt_loop.thisN;both_txt_loop.thisIndex;both_stim_loop.thisRepN;both_stim_loop.thisTrialN;both_stim_loop.thisN;both_stim_loop.thisIndex;training_trials_loop.thisRepN;training_trials_loop.thisTrialN;training_trials_loop.thisN;training_trials_loop.thisIndex;stim_loop.thisRepN;stim_loop.thisTrialN;stim_loop.thisN;stim_loop.thisIndex;stim_test.thisRepN;stim_test.thisTrialN;stim_test.thisN;stim_test.thisIndex;stim_neutral_loop.thisRepN;stim_neutral_loop.thisTrialN;stim_neutral_loop.thisN;stim_neutral_loop.thisIndex;stim_neutral31_loop.thisRepN;stim_neutral31_loop.thisTrialN;stim_neutral31_loop.thisN;stim_neutral31_loop.thisIndex;conterbalencement.thisRepN;conterbalencement.thisTrialN;conterbalencement.thisN;conterbalencement.thisIndex;istr_nh_loop.thisRepN;istr_nh_loop.thisTrialN;istr_nh_loop.thisN;istr_nh_loop.thisIndex;nh_loop_trials.thisRepN;nh_loop_trials.thisTrialN;nh_loop_trials.thisN;nh_loop_trials.thisIndex;istr_nb_loop.thisRepN;istr_nb_loop.thisTrialN;istr_nb_loop.thisN;istr_nb_loop.thisIndex;nb_loop_trials.thisRepN;nb_loop_trials.thisTrialN;nb_loop_trials.thisN;nb_loop_trials.thisIndex;conterbalencement2.thisRepN;conterbalencement2.thisTrialN;conterbalencement2.thisN;conterbalencement2.thisIndex;istr_hn_loop.thisRepN;istr_hn_loop.thisTrialN;istr_hn_loop.thisN;istr_hn_loop.thisIndex;hn_loop_trials.thisRepN;hn_loop_trials.thisTrialN;hn_loop_trials.thisN;hn_loop_trials.thisIndex;istr_bn_loop.thisRepN;istr_bn_loop.thisTrialN;istr_bn_loop.thisN;istr_bn_loop.thisIndex;bn_loop_trials.thisRepN;bn_loop_trials.thisTrialN;bn_loop_trials.thisN;bn_loop_trials.thisIndex;arousal_loop.thisRepN;arousal_loop.thisTrialN;arousal_loop.thisN;arousal_loop.thisIndex;valence_loop.thisRepN;valence_loop.thisTrialN;valence_loop.thisN;valence_loop.thisIndex;position.left;position.right;txt_right.started;txt_right.stopped;txt_left.started;txt_left.stopped;left.started;left.stopped;right.started;right.stopped;kb_trial_training.keys;kb_trial_training.rt;kb_trial_training.started;kb_trial_training.stopped;kb_extra_training.keys;kb_extra_training.rt;kb_extra_training.started;kb_extra_training.stopped;sound_1.started;sound_1.stopped;txt_wait.started;txt_wait.stopped;amplitude_5hz;sound_2.started;sound_2.stopped;amplitude_31hz;sound_6.started;sound_6.stopped;img_nb_right.started;img_nb_right.stopped;img_nb_left.started;img_nb_left.stopped;img_trial_right.started;img_trial_right.stopped;img_trial_left.started;img_trial_left.stopped;resp.keys;resp.rt;resp.started;resp.stopped;sound_3.started;sound_3.stopped;img_nh_right.started;img_nh_right.stopped;img_nh_left.started;img_nh_left.stopped;half_break_left.started;half_break_left.stopped;kb_half_break.keys;kb_half_break.rt;kb_half_break.started;kb_half_break.stopped;img_bn_right.started;img_bn_right.stopped;img_bn_left.started;img_bn_left.stopped;img_hn_right.started;img_hn_right.stopped;img_hn_left.started;img_hn_left.stopped;img_arousal_right.started;img_arousal_right.stopped;img_arousal_left.started;img_arousal_left.stopped;img_val_right.started;img_val_right.stopped;img_val_left.started;img_val_left.stopped;kb_valuation.keys;kb_valuation.rt;kb_valuation.started;kb_valuation.stopped;sound_4.started;sound_4.stopped;img_valence_right.started;img_valence_right.stopped;img_valence_left.started;img_valence_left.stopped;txt_end_right.started;txt_end_right.stopped;txt_end_left.started;txt_end_left.stopped;participant;session;practice;stim_setting;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9500000000000001;910.2550610361941;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;918.2048084888011;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;2;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;920.121445763798;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;3;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;922.2881282337985;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;4;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;924.3715536218006;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;5;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8999999999999999;926.8063260708004;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;6;0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8499999999999999;928.1881828547994;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;7;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7999999999999998;929.4714429488013;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;8;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7499999999999998;931.7213049587954;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;9;0;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7499999999999998;934.2879874637947;944.2880978859976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.85;946.2379132057977;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7999999999999999;948.037906675796;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;2;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7499999999999999;948.5878119147965;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;3;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6999999999999998;949.2377921777952;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;4;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6499999999999998;950.1212373457965;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;5;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5999999999999998;951.5878590737993;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;6;0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5499999999999997;954.4211320917966;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;7;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4999999999999997;956.8708836427977;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;8;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.44999999999999973;959.1543596347983;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;9;0;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.39999999999999974;962.7709502727957;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03;001;1;1;2022_Mar_22_1327;VR_setting;2021.2.3;60.14524414673389;
